Major,Subject,Type,Teacher,Mode
EP,Badania i diagnostyka silników,lab,prof. UBB dr hab. inż. Tomasz Knefel,Niestacjonarne Wieczorowe
EP,Badania i diagnostyka silników,lab,prof. UBB dr hab. inż. Tomasz Knefel,Stacjonarne
EP,Badania i diagnostyka silników,wyk,prof. UBB dr hab. inż. Dariusz Pietras,Stacjonarne
EP,Budowa i eksploatacja pojazdów I,wyk,prof. UBB dr hab. inż. Krzysztof Parczewski,Niestacjonarne Wieczorowe
EP,Budowa i eksploatacja pojazdów I,wyk,prof. UBB dr hab. inż. Krzysztof Parczewski,Stacjonarne
EP,Budowa i eksploatacja pojazdów I,ćw,mgr inż. Kacper Cieślar,Niestacjonarne Wieczorowe
EP,Budowa i eksploatacja silników I,wyk,prof. UBB dr hab. inż. Jacek Nowakowski,Stacjonarne
EP,Eitnm(10.5godz.),lab,mgr inż. Kacper Cieślar,Niestacjonarne Wieczorowe
EP,Eitnm(4,5godz.),prof. UBB dr hab. inż. Krzysztof Parczewski,Niestacjonarne Wieczorowe
EP,Eitnm(4,5godz.),prof. UBB dr hab. inż. Tomasz Knefel,Niestacjonarne Wieczorowe
EP,Ekologia i recykling pojazdów,wyk,prof. UBB dr hab. inż. Dariusz Pietras,Niestacjonarne Wieczorowe
EP,Ekologia i recykling pojazdów,wyk,prof. UBB dr hab. inż. Dariusz Pietras,Stacjonarne
EP,Eksploatacja i technologia napraw maszyn,lab,mgr inż. Kacper Cieślar,Stacjonarne
EP,Matematyka inżynierska II,wyk,dr Tomasz Zgraja,Niestacjonarne Wieczorowe
EP,Matematyka inżynierska II,wyk,prof. UBB dr hab. Szymon Wąsowicz,Stacjonarne
EP,Matematyka inżynierska II,ćw,mgr inż. Dorota Śliwińska,Niestacjonarne Wieczorowe
EP,Matematyka inżynierska II,ćw,prof. UBB dr hab. Szymon Wąsowicz,Stacjonarne
EP,Materiały i tworzywa sztuczne w budowie pojazdów,wyk,prof. UBB dr hab. inż. Izabella Rajzer,Stacjonarne
EP,Mechanika techniczna II,wyk,prof. UBB dr hab. inż. Andrzej Harlecki,Stacjonarne
EP,Mechanika techniczna II,ćw,dr inż. Krzysztof Kubas,Niestacjonarne Wieczorowe
EP,Mechanika techniczna II,ćw,dr inż. Krzysztof Kubas,Stacjonarne
EP,Metrologia,lab,mgr inż. Izabela Hura,Stacjonarne
EP,Ochrona własności intelektualnych,wyk,prof. UBB dr hab. inż. Tomasz Knefel,Niestacjonarne Wieczorowe
EP,Odlewnictwo i obróbka plastyczna,lab,dr inż. Aleksandra Jarco,Stacjonarne
EP,Odlewnictwo i obróbka plastyczna,wyk,prof. UBB dr hab. inż. Jacek Pezda,Niestacjonarne Wieczorowe
EP,Odlewnictwo i obróbka plastyczna,wyk,prof. UBB dr hab. inż. Jacek Pezda,Stacjonarne
EP,Podstawy CAD i modelowanie 3D,lab,dr inż. Jerzy Marszałek,Niestacjonarne Wieczorowe
EP,Podstawy CAD i modelowanie 3D,lab,dr inż. Piotr Danielczyk,Stacjonarne
EP,Podstawy dynamiki maszyn,wyk,prof. UBB dr hab. inż. Andrzej Harlecki,Stacjonarne
EP,Podstawy elektrotechniki i elektroniki,lab,dr inż. Daniel Jancarczyk,Niestacjonarne Wieczorowe
