Major,Subject,Type,Teacher
MiBM,Metaloznawstwo II,lab,prof. UBB dr hab. inż. Dariusz Jędrzejczyk
MiBM,Metaloznawstwo II,wyk,prof. UBB dr hab. inż. Dariusz Jędrzejczyk
MiBM,Metaloznawstwo II,wyk,prof. UBB dr hab. inż. Izabella Rajzer
MiBM,Metody numeryczne,lab,dr inż. Krzysztof Kubas
MiBM,Modelowanie komputerowe układów mechatronicznych,lab,prof. UBB dr hab. inż. Andrzej Urbaś
MiBM,Modelowanie wspomagające projektowanie maszyn,lab,dr inż. Piotr Danielczyk
MiBM,Niekonwencjonalne metody wytwarzania,wyk,dr inż. Piotr Zyzak
MiBM,Obrabiarki sterowane numerycznie,lab,mgr inż. Kamil Wyrobek
MiBM,Obróbka plastyczna,wyk,prof. UBB dr hab. inż. Jacek Pezda
MiBM,Obróbka ubytkowa,lab,mgr inż. Izabela Hura
MiBM,Obróbka ubytkowa,wyk,prof. UBB dr hab. inż. Jacek Pezda
MiBM,Podstawy CAD i modelowanie 3D,lab,dr inż. Piotr Danielczyk
MiBM,Podstawy automatyki i robotyki,lab,dr inż. Jarosław Janusz
MiBM,Podstawy automatyki i robotyki,lab,mgr inż. Marcin Pawlik
MiBM,Podstawy automatyki i robotyki,wyk,dr inż. Jarosław Janusz
MiBM,Podstawy automatyki i robotyki,ćw,dr inż. Jarosław Janusz
MiBM,Podstawy elektrotechniki i elektroniki,wyk,mgr inż. Andrzej Masny
MiBM,Podstawy elektrotechniki i elektroniki,ćw,mgr inż. Andrzej Masny
MiBM,Podstawy konstrukcji maszyn I,proj,dr inż. Marek Praszkiewicz
MiBM,Podstawy konstrukcji maszyn I,wyk,dr inż. Marek Praszkiewicz
MiBM,Podstawy konstrukcji maszyn II,lab,mgr inż. Ryszard Klecki
MiBM,Podstawy konstrukcji maszyn II,proj,dr inż. Marek Praszkiewicz
MiBM,Podstawy konstrukcji maszyn II,wyk,dr inż. Marek Praszkiewicz
MiBM,Praca przejściowa,proj,prof. UBB dr hab. inż. Ireneusz Wróbel
MiBM,Praca przejściowa,proj,prof. UBB dr hab. inż. Jacek Pezda
MiBM,Procesy montażu w przemyśle motoryzacyjnym,wyk,prof. UBB dr hab. inż. Krzysztof Parczewski
MiBM,Projektowanie elastycznych systemów produkcyjnych,proj,mgr inż. Kamil Wyrobek
MiBM,Projektowanie elastycznych systemów produkcyjnych,wyk,prof. UBB dr hab. inż. Roman Stryczek
MiBM,Projektowanie generatywne,proj,dr inż. Piotr Danielczyk
MiBM,Projektowanie generatywne,proj,mgr inż. Kamil Wyrobek
MiBM,Projektowanie procesów obróbki i montażu,wyk,prof. UBB dr hab. inż. Roman Stryczek
MiBM,PrzeniesieniezajęćzsaliL13510.03,,prof. UBB dr hab. inż. Izabella Rajzer
MiBM,Seminarium dyplomowe I,sem,prof. UBB dr hab. inż. Jacek Pezda
MiBM,Seminarium dyplomowe II,sem,prof. UBB dr hab. inż. Ireneusz Wróbel
MiBM,Statystyka i probabilistyka,wyk,dr Bartosz Micherda
MiBM,Statystyka i probabilistyka,ćw,dr Bartosz Micherda
MiBM,Systemy CAM,lab,mgr inż. Kamil Wyrobek
MiBM,Systemy pomiarowe,lab,dr inż. Henryk Wnęk
MiBM,Systemy pomiarowe,lab,mgr inż. Kacper Cieślar
MiBM,Systemy wizyjne w wytwarzaniu,lab,mgr inż. Paweł Błaszczak
MiBM,Technologie proekologiczne,wyk,prof. UBB dr hab. inż. Tomasz Knefel
MiBM,Technologie spajania,wyk,prof. UBB dr hab. inż. Jacek Pezda
MiBM,Teoria maszyn i mechanizmów,wyk,dr inż. Arkadiusz Trąbka
MiBM,Termodynamika I,wyk,prof. UBB dr hab. inż. Andrzej Sucheta
MiBM,Termodynamika I,ćw,prof. UBB dr hab. inż. Andrzej Sucheta
MiBM,Termodynamika techniczna I,wyk,prof. UBB dr hab. inż. Andrzej Sucheta
MiBM,Termodynamika techniczna I,ćw,prof. UBB dr hab. inż. Andrzej Sucheta
MiBM,Transport masy i energii,wyk,prof. UBB dr hab. inż. Andrzej Sucheta
MiBM,Urządzenia pneumatyczne i hydrauliczne,wyk,dr inż. Jerzy Kopeć
MiBM,Współczesne materiały inżynierskie,wyk,prof. UBB dr hab. inż. Dariusz Jędrzejczyk
MiBM,Wybrane zagadnienia z konstrukcji maszyn,wyk,prof. UBB dr hab. inż. Józef Drewniak
MiBM,Wytrzymałość kompozytów i teoria sprężystości,wyk,prof. UBB dr hab. inż. Dorota Pawlus
MiBM,Wytrzymałość materiałów I,wyk,prof. UBB dr hab. inż. Dorota Pawlus
MiBM,Wytrzymałość materiałów I,ćw,prof. UBB dr hab. inż. Dorota Pawlus
MiBM,Wytrzymałość materiałów II,lab,mgr inż. Mateusz Śliwka
MiBM,Zarządzanie przedsiębiorstwem,wyk,dr inż. Piotr Zyzak
MiBM,Zarządzanie środowiskiem i ekologia,wyk,prof. UBB dr hab. inż. Dariusz Pietras
Mt,Języki wysokiego poziomu w mechatronice,lab,dr inż. Marcin Sidzina
Mt,Języki wysokiego poziomu w mechatronice,lab,mgr inż. Adam Jabłoński
Mt,Języki wysokiego poziomu w mechatronice,proj,dr inż. Marcin Sidzina
Mt,Języki wysokiego poziomu w mechatronice,proj,mgr inż. Adam Jabłoński
Mt,Matematyka,wyk,dr Bartosz Micherda
Mt,Matematyka,ćw,dr Bartosz Micherda
Mt,Modelowanie komputerowe układów mechatronicznych,lab,prof. UBB dr hab. inż. Andrzej Urbaś
Mt,Modelowanie komputerowe układów mechatronicznych,wyk,prof. UBB dr hab. inż. Andrzej Urbaś
Mt,Modelowanie wspomagające projektowanie maszyn,lab,dr inż. Piotr Danielczyk
Mt,Praca przejściowa,proj,dr inż. Jacek Rysiński
Mt,Praca przejściowa,proj,dr inż. Marcin Sidzina
Mt,Programowalne sterowniki PAC,lab,mgr inż. Ewa Bebek
Mt,Programowalne sterowniki PAC,wyk,mgr inż. Ewa Bebek
Mt,Przekształtniki energoelektroniczne,wyk,dr inż. Aleksander Patyk
Mt,Przemysł 4.0,wyk,prof. UBB dr hab. inż. Dariusz Jędrzejczyk
Mt,Robotyzacja stanowisk mechatronicznych,proj,dr inż. Marcin Sidzina
Mt,Robotyzacja stanowisk mechatronicznych,proj,mgr inż. Marcin Pawlik
Mt,Rozpoznawanie obrazów i systemy ekspertowe,wyk,mgr inż. Paweł Błaszczak
Mt,Sterowanie elektrycznymi układami napędowymi,lab,dr inż. Daniel Jancarczyk
Mt,Symulacja procesów zrobotyzowanych,lab,dr inż. Marcin Sidzina
Mt,Symulacja procesów zrobotyzowanych,lab,mgr inż. Marcin Pawlik
Mt,Systemy wizualizacji SCADA,lab,mgr inż. Ewa Bebek
Mt,Systemy wizualizacji SCADA,wyk,dr inż. Marcin Sidzina
Mt,Systemy wizualizacji SCADA,wyk,mgr inż. Ewa Bebek
Mt,Systemy wizyjne w wytwarzaniu,lab,mgr inż. Paweł Błaszczak
